,year,month,day,country,title,text,hazard-category,product-category,hazard,product
0,1994,1,7,us,Recall Notification: FSIS-024-94,"Case Number: 024-94   
            Date Opened: 07/01/1994   
            Date Closed: 09/22/1994 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  05893  P   
              Name:  GERHARD'S NAPA VALLEY SAUSAGE
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  NAPA    
            State:  CA   
            Country:  USA
    
            Product:  SMOKED CHICKEN SAUSAGE
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  2,894   
            Pounds Recovered:  2,894",biological,"meat, egg and dairy products",listeria monocytogenes,smoked sausage
1,1994,3,10,us,Recall Notification: FSIS-033-94,"Case Number: 033-94   
            Date Opened: 10/03/1994   
            Date Closed: 01/19/1995 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  05600  M   
              Name:  WIMMER'S MEAT PRODUCTS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  WEST POINT    
            State:  NE   
            Country:  USA
    
            Product:  WIENERS
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  5,500   
            Pounds Recovered:  4,568",biological,"meat, egg and dairy products",listeria spp,sausage
2,1994,3,28,us,Recall Notification: FSIS-014-94,"Case Number: 014-94   
            Date Opened: 03/28/1994   
            Date Closed: 07/19/1994 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  00819  M   
              Name:  WILLOW FOODS INC
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  FALLS CITY    
            State:  NE   
            Country:  USA
    
            Product:  HAM, SLICED
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  3,950   
            Pounds Recovered:  3,809",biological,"meat, egg and dairy products",listeria monocytogenes,ham slices
3,1994,4,3,us,Recall Notification: FSIS-009-94,"Case Number: 009-94   
            Date Opened: 03/04/1994   
            Date Closed: 07/25/1994 
    
            Recall Class:  2   
            Press Release (Y/N):  N  
    
            Domestic Est. Number:  00537A M   
              Name:  OSCAR MAYER FOODS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  MADISON    
            State:  WI   
            Country:  USA
    
            Product:  BEEF FRANKS
    
            Problem:  EXTRANEOUS MATERIAL   
            Description: PLASTIC
    
            Total Pounds Recalled:  16,164   
            Pounds Recovered:  15,033",foreign bodies,"meat, egg and dairy products",plastic fragment,thermal processed pork meat
4,1994,7,1,us,Recall Notification: FSIS-001-94,"Case Number: 001-94   
            Date Opened: 01/07/1994   
            Date Closed: 05/27/1994 
    
            Recall Class:  1   
            Press Release (Y/N):  N  
    
            Domestic Est. Number:  01325  P   
              Name:  TYSON FOODS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  NEW HOLLAND    
            State:  PA   
            Country:  USA
    
            Product:  CHICKEN BREAST CHUNKS, COOKED
    
            Problem:  EXTRANEOUS MATERIAL   
            Description: PLASTIC
    
            Total Pounds Recalled:  46,168   
            Pounds Recovered:  15,083",foreign bodies,"meat, egg and dairy products",plastic fragment,chicken breast
5,1994,8,11,us,Recall Notification: FSIS-044-94,"Case Number: 044-94   
            Date Opened: 11/08/1994   
            Date Closed: 03/24/1995 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  00969  M   
              Name:  MONFORT INC.
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  GREELEY    
            State:  CO   
            Country:  USA
    
            Product:  GROUND BEEF
    
            Problem:  BACTERIA,   
            Description: E. COLI O157:H7
    
            Total Pounds Recalled:  595,349   
            Pounds Recovered:  124,000",biological,"meat, egg and dairy products",escherichia coli,ground beef
6,1994,9,2,us,Recall Notification: FSIS-005-94,"Case Number: 005-94   
            Date Opened: 02/09/1994   
            Date Closed: 05/04/1994 
    
            Recall Class:  1   
            Press Release (Y/N):  Y  
    
            Domestic Est. Number:  10060  M   
              Name:  INTERNATIONAL SAUSAGE
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  DETROIT    
            State:  MI   
            Country:  USA
    
            Product:  BEEF FRANKS
    
            Problem:  BACTERIA   
            Description: LISTERIA
    
            Total Pounds Recalled:  1,600   
            Pounds Recovered:  1,317",biological,"meat, egg and dairy products",listeria monocytogenes,thermal processed pork meat
7,1994,10,11,us,Recall Notification: FSIS-045-94,"Case Number: 045-94   
            Date Opened: 11/10/1994   
            Date Closed: 03/06/1995 
    
            Recall Class:  2   
            Press Release (Y/N):  N  
    
            Domestic Est. Number:  02260Y M   
              Name:  ADVANCE FOODS
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  ENID    
            State:  OK   
            Country:  USA
    
            Product:  BEEF & TURKEY FINGERS
    
            Problem:  EXTRANEOUS MATERIAL   
            Description: PLASTIC
    
            Total Pounds Recalled:  6,410   
            Pounds Recovered:  3,960",foreign bodies,"meat, egg and dairy products",plastic fragment,beef
8,1994,12,5,us,Recall Notification: FSIS-018-94,"Case Number: 018-94   
            Date Opened: 05/12/1994   
            Date Closed: 09/23/1994 
    
            Recall Class:  2   
            Press Release (Y/N):  N  
    
            Domestic Est. Number:  01765  M   
              Name:  S.A.L. INC
    
            Imported Product (Y/N):  N       
            Foreign Estab. Number:  N/A
    
            City:  WILLIAMSPORT    
            State:  IN   
            Country:  USA
    
            Product:  BEEF, STEW, STIR FRY
    
            Problem:  EXTRANEOUS MATERIAL   
            Description: PLASTIC
    
            Total Pounds Recalled:  82,980   
            Pounds Recovered:  5,880",foreign bodies,"meat, egg and dairy products",plastic fragment,beef stewed
9,1994,12,7,us,Recall Notification: FSIS-026-94,"Case Number: 026-94   
            Date Opened: 07/12/1994   
            Date Closed: 09/19/1994 
    
            Recall Class:  N   
            Press Release (Y/N):  N  
    
            Domestic Est. Number:  N/A   
              Name:  MILI QUALITY FOODS
    
            Imported Product (Y/N):  Y       
            Foreign Estab. Number:  47
    
            City:  ASHRAT    
            State:  F   
            Country:  ISRAEL
    
            Product:  CHICKEN BREAST, COOKED
    
            Problem:  DRUG   
            Description: SULFADIMETHOXINE
    
            Total Pounds Recalled:  8,260   
            Pounds Recovered:  0",chemical,"meat, egg and dairy products","antibiotics, vet drugs",chicken breast
